Model Version,MAE,RMSE,R2
Linear Regression (Zillow + ACS),1.4332953322443494,2.5018332613460483,0.7480303767017167
Linear Regression (Zillow + ACS + TRI),1.4412930351286288,2.500846798444954,0.7482290387681105
Linear Regression (Zillow + ACS + TRI + FEMA),1.440509742440332,2.501361369267623,0.7481254200105347
