zcta,StateName,CountyName,Metro,zhvi_2026_03,zhvi_2025_03,y_pct_chg_12m,pct_chg_1m,pct_chg_3m,pct_chg_6m,vol_12m,median_household_income,pct_bachelor_or_higher,pct_owner_occupied,population_total,county_clean,tri_facility_count_county,tri_total_releases_county,flood_zone_count
15001,PA,Beaver County,"Pittsburgh, PA",201481.4081450784,189271.5772376695,6.450958503968568,0.5530784628643101,1.628401258322204,2.423215705799179,0.2698400866525824,70985.0,30.28842225672032,75.63113604488079,31976.0,BEAVER,33.0,561293.575,
15003,PA,Beaver County,"Pittsburgh, PA",138375.38795133543,134677.36285260515,2.745840147447432,0.3294139671051964,0.7091388413215244,0.3581179353287002,0.4516766617073841,59550.0,23.78716744913928,64.24242424242425,11387.0,BEAVER,33.0,561293.575,
15005,PA,Beaver County,"Pittsburgh, PA",281470.9062080176,271849.35012156697,3.539297071024089,0.6309502347498179,1.34242832309934,1.5670205271642348,0.2237019997577925,73354.0,37.43009320905459,86.59075063908901,9570.0,BEAVER,33.0,561293.575,
15006,PA,Allegheny County,"Pittsburgh, PA",186784.8586106369,181054.37906511672,3.165059898086861,-0.1529085992764684,-1.0714221419807812,-0.2502590323044609,0.5629035508185922,79417.0,33.0188679245283,76.19047619047619,180.0,ALLEGHENY,54.0,9001540.964,
15007,PA,Allegheny County,"Pittsburgh, PA",293044.73025361454,285816.7818889757,2.528874727673096,0.4920555342865179,0.6104583234625067,0.5391359449252348,0.24748067448738,,40.21739130434783,64.48598130841121,256.0,ALLEGHENY,54.0,9001540.964,
15009,PA,Beaver County,"Pittsburgh, PA",271627.6208863268,262988.91101490153,3.28481905875332,0.4249028410701204,1.1017443549132175,1.8265894045055653,0.0813767659885476,88294.0,41.580333625987706,73.86596429616623,15565.0,BEAVER,33.0,561293.575,
15010,PA,Beaver County,"Pittsburgh, PA",194376.11429479285,183734.9496,5.791584408932101,0.527236847940989,1.5397540019303526,2.435290914470285,0.1880121734203784,71200.0,31.769711883523016,74.92875032386216,28542.0,BEAVER,33.0,561293.575,
15012,PA,Westmoreland County,"Pittsburgh, PA",181417.2667836279,184712.6064525029,-1.7840361479184386,-0.5735447819478277,-1.0302002855035663,-1.4493761771791418,0.1794478491267703,60172.0,26.795945350374616,72.11443138365671,15412.0,WESTMORELAND,34.0,2625409.556,
15014,PA,Allegheny County,"Pittsburgh, PA",110741.57413983828,99651.79625,11.128527841100787,0.257114839953042,2.3439436599395007,6.255270188837306,0.4746344734101257,53551.0,15.021834061135372,70.2258726899384,3095.0,ALLEGHENY,54.0,9001540.964,
15015,PA,Allegheny County,"Pittsburgh, PA",529532.7911,501792.31675433903,5.528278018501791,0.2759367847577118,0.5246065620593073,1.7445624084578542,0.2179274009454431,155208.0,77.13052858683926,99.60861056751467,1291.0,ALLEGHENY,54.0,9001540.964,
